VOLKSWAGEN GOLF 7,14000 km,09-2020,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Noir,82 000 DT
HUMMER H2,230000 km,12-2003,13.06.2021,4 x 4,Essence,31 CV,Automatique,Traction,Noir,120 000 DT
FIAT 500,85000 km,05-2016,13.06.2021,Citadine,Essence,4 CV,Automatique,Traction,Blanc,36 500 DT
AUDI A5,45000 km,10-2018,13.06.2021,Coupé,Essence,15 CV,Automatique,Traction,Gris argent,220 000 DT
VOLKSWAGEN CADDY,44000 km,05-2018,13.06.2021,Utilitaire,Diesel,5 CV,Manuelle,Traction,Blanc,48 500 DT
AUDI A5,70000 km,12-2013,13.06.2021,Coupé,Essence,9 CV,Automatique,Traction,Noir,85 000 DT
PEUGEOT 407,221000 km,01-2006,13.06.2021,Berline,Essence,9 CV,Automatique,Traction,Rouge,25 000 DT
KIA RIO,11000 km,05-2020,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,50 900 DT
MERCEDES-BENZ CLASSE C,132000 km,01-2014,13.06.2021,Berline,Essence,9 CV,Manuelle,Traction,Blanc,59 500 DT
AUDI A5,38000 km,04-2019,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Marron,179 000 DT
MINI COOPER S,153000 km,07-2007,13.06.2021,Cabriolet,Essence,6 CV,Manuelle,Traction,Beige,39 000 DT
KIA RIO,3000 km,11-2020,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Bleu,63 500 DT
KIA K2700,158000 km,06-2018,13.06.2021,Utilitaire,Diesel,9 CV,Manuelle,Traction,Blanc,40 000 DT
AUDI A4,104000 km,06-2016,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Noir,82 000 DT
MINI COOPER,127000 km,01-2013,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Noir,40 500 DT
CITROËN C5,250000 km,01-2010,13.06.2021,Berline,Diesel,6 CV,Manuelle,Traction,Noir,25 000 DT
CITROËN C5,193000 km,01-2012,13.06.2021,Berline,Diesel,6 CV,Manuelle,Traction,Noir,34 900 DT
PEUGEOT 206,146000 km,05-2008,13.06.2021,Berline,Essence,6 CV,Manuelle,Traction,Gris argent,18 500 DT
MINI COOPER,114000 km,04-2012,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Noir,36 900 DT
BMW SÉRIE 3,178000 km,02-2009,13.06.2021,Berline,Essence,10 CV,Automatique,Traction,Noir,47 000 DT
CADILLAC ESCALADE,127000 km,06-2004,13.06.2021,Pick up,Essence,34 CV,Automatique,Traction,Gris argent,49 000 DT
CHEVROLET AVEO,139000 km,05-2017,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Gris argent,26 000 DT
BMW SÉRIE 5,265000 km,08-2010,13.06.2021,Berline,Essence,12 CV,Automatique,Traction,Blanc,82 000 DT
VOLKSWAGEN AMAROK,132000 km,09-2013,13.06.2021,Pick up,Diesel,7 CV,Manuelle,Traction,Noir,58 000 DT
MERCEDES-BENZ CLASSE C,91000 km,10-2014,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Noir,105 000 DT
MERCEDES-BENZ CLASSE C,225000 km,12-2008,13.06.2021,Berline,Essence,9 CV,Manuelle,Traction,Noir,39 500 DT
PEUGEOT 208,137000 km,08-2014,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,29 500 DT
SSANGYONG ACTYON S,358000 km,12-2007,13.06.2021,Pick up,Diesel,7 CV,Manuelle,Traction,Gris argent,23 000 DT
TOYOTA LAND CRUISER,390000 km,04-2001,13.06.2021,4 x 4,Diesel,17 CV,Manuelle,Traction,Noir,49 000 DT
MERCEDES-BENZ CLASSE E,132000 km,06-2014,13.06.2021,Berline,Essence,9 CV,Automatique,Traction,Blanc,90 000 DT
CITROËN DS4,260000 km,06-2012,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Marron,35 000 DT
BMW SÉRIE 3,170000 km,09-2009,13.06.2021,Coupé,Essence,7 CV,Manuelle,Traction,Gris argent,47 000 DT
KIA PICANTO,65000 km,05-2018,13.06.2021,Citadine,Essence,5 CV,Automatique,Traction,Rouge,40 000 DT
AUDI Q7,182000 km,04-2009,13.06.2021,Citadine,Diesel,16 CV,Automatique,Traction,Noir,73 000 DT
MAHINDRA KUV 100,37000 km,01-2019,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Rouge,32 000 DT
TOYOTA YARIS,39000 km,05-2017,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Rouge,40 000 DT
SEAT LEON,79000 km,09-2014,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Noir,53 000 DT
HAVAL H9,135000 km,04-2017,13.06.2021,4 x 4,Essence,15 CV,Automatique,Traction,Gris argent,92 000 DT
MERCEDES-BENZ CLASSE C,192000 km,09-2008,13.06.2021,Berline,Essence,9 CV,Automatique,Traction,Blanc,50 000 DT
CITROËN BERLINGO ,74000 km,07-2016,13.06.2021,Utilitaire,Essence,7 CV,Manuelle,Traction,Noir,48 500 DT
KIA CERATO,98000 km,04-2014,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Noir,48 500 DT
TOYOTA C-HR,61000 km,03-2018,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Gris argent,75 000 DT
MERCEDES-BENZ CLASSE A,187000 km,12-2012,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Blanc,68 000 DT
CHEVROLET CRUZE,135000 km,11-2012,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Gris argent,25 500 DT
CHERY E3,72000 km,07-2017,13.06.2021,Berline,Essence,6 CV,Manuelle,Traction,Blanc,27 500 DT
BAIC YX KENBO S3,75000 km,10-2016,13.06.2021,4 x 4,Essence,7 CV,Manuelle,Traction,Gris anthracite,44 500 DT
TOYOTA HILUX,116000 km,05-2011,13.06.2021,Pick up,Diesel,8 CV,Manuelle,Traction,Noir,105 000 DT
MAZDA 3,117000 km,12-2015,13.06.2021,Berline,Essence,6 CV,Manuelle,Traction,Gris argent,42 500 DT
CHERY QQ,62000 km,12-2018,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Gris argent,22 900 DT
KIA AGE,168000 km,03-2013,13.06.2021,4 x 4,Diesel,6 CV,Manuelle,Traction,Blanc,66 000 DT
MERCEDES-BENZ CLASSE C,220000 km,07-2014,13.06.2021,Berline,Essence,8 CV,Manuelle,Traction,Noir,80 000 DT
SSANGYONG TIVOLI,53000 km,01-2019,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Bleu,62 000 DT
VOLKSWAGEN GOLF 7,145000 km,03-2015,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,67 000 DT
BMW SÉRIE 3,193000 km,02-2009,13.06.2021,Berline,Essence,8 CV,Manuelle,Traction,Rouge,42 900 DT
MINI COOPER COUNTRY MAN,49000 km,11-2014,13.06.2021,Citadine,Essence,7 CV,Automatique,Traction,Marron,69 000 DT
TOYOTA LAND CRUISER,686000 km,02-1991,13.06.2021,4 x 4,Diesel,11 CV,Manuelle,Traction,Blanc,42 500 DT
BMW SÉRIE 4,18000 km,11-2019,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Noir,159 000 DT
VOLKSWAGEN GOLF 7,147000 km,11-2013,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Bleu,47 000 DT
VOLKSWAGEN PASSAT,93000 km,12-2016,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Noir,66 000 DT
AUDI A3,220000 km,04-2010,13.06.2021,Citadine,Diesel,5 CV,Manuelle,Traction,Noir,35 500 DT
DACIA DUSTER,207000 km,02-2013,13.06.2021,4 x 4,Diesel,5 CV,Manuelle,Traction,Blanc,43 000 DT
VOLKSWAGEN GOLF 7,86000 km,12-2017,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Blanc,68 000 DT
PORSCHE CAYENNE,167000 km,06-2007,13.06.2021,4 x 4,Essence,21 CV,Automatique,Traction,Noir,78 000 DT
VOLKSWAGEN JETTA,170000 km,08-2014,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Noir,42 500 DT
TOYOTA LAND CRUISER,492000 km,06-2010,13.06.2021,4 x 4,Diesel,20 CV,Manuelle,Traction,Blanc,145 000 DT
VOLKSWAGEN PASSAT,372000 km,12-2005,13.06.2021,Berline,Diesel,8 CV,Automatique,Traction,Blanc,30 000 DT
AUDI A8,230000 km,11-2007,13.06.2021,Berline,Diesel,15 CV,Automatique,Traction,Noir,78 000 DT
FIAT 500X,68000 km,12-2015,13.06.2021,Citadine,Diesel,6 CV,Manuelle,Traction,Gris argent,67 000 DT
LANCIA YPSILON,78000 km,04-2015,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Gris Shark,29 900 DT
CITROËN DS3,93000 km,09-2014,13.06.2021,Citadine,Essence,5 CV,Manuelle,Traction,Blanc,34 000 DT
JAGUAR XF,148000 km,10-2012,13.06.2021,Berline,Diesel,11 CV,Automatique,Traction,Marron,128 000 DT
MERCEDES-BENZ CLASSE E,162000 km,07-2004,13.06.2021,Berline,Diesel,11 CV,Automatique,Traction,Gris argent,46 000 DT
BMW SÉRIE 5,178000 km,05-2002,13.06.2021,Berline,Diesel,13 CV,Automatique,Traction,Gris argent,46 000 DT
FIAT PANDA CITY CROSS,11000 km,08-2020,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Blanc,39 500 DT
FORD RANGER,142000 km,04-2008,13.06.2021,Pick up,Diesel,10 CV,Manuelle,Traction,Bleu,36 500 DT
VOLKSWAGEN PASSAT,89000 km,11-2017,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Noir,70 000 DT
AUDI A3,62000 km,01-2018,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Gris anthracite,78 000 DT
MAHINDRAORPIO ,97000 km,08-2016,13.06.2021,Pick up,Diesel,8 CV,Manuelle,Traction,Noir,35 000 DT
RENAULT TWINGO,34000 km,03-2015,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Bleu,32 900 DT
MERCEDES-BENZ CLASSE E,146000 km,08-2009,13.06.2021,Berline,Diesel,10 CV,Automatique,Traction,Rouge,67 000 DT
BMW SÉRIE 3,121000 km,03-2015,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Noir,87 000 DT
MERCEDES-BENZ CLASSE C,133000 km,05-2015,13.06.2021,Berline,Diesel,7 CV,Automatique,Traction,Noir,105 000 DT
TOYOTA PRADO,376000 km,06-2008,13.06.2021,4 x 4,Diesel,11 CV,Automatique,Traction,Beige,89 000 DT
